car_brand,model,price,year,location,fuel,km_driven,gear,ownership,monthly_payment
Hyundai,VernaFLUIDIC 1.6 SX CRDI OPT,445499,2011,Mumbai,Diesel,144101,Manual,1,9910
Volkswagen,PoloHIGHLINE1.2L DIESEL,360000,2012,Mumbai,Diesel,80363,Manual,1,8008
BMW,3 Series320D SPORTLINE,1613399,2014,Mumbai,Diesel,76122,Automatic,1,35889
Volkswagen,VentoCOMFORTLINE DIESEL,376699,2013,Mumbai,Diesel,146692,Manual,1,8379
Hyundai,Santa Fe4WD,825000,2013,Mumbai,Diesel,78195,Manual,1,18352
Maruti,ErtigaVDI ABS,525000,2012,Mumbai,Diesel,109572,Manual,2,11678
Mahindra,Scorpio2.5 TURBO M2DI,366000,2010,Mumbai,Diesel,152405,Manual,1,8141
Honda,CitySV CVT PETROL,573599,2014,Mumbai,Petrol,107517,Automatic,1,12759
Maruti,S CrossZETA 1.6,609299,2015,Mumbai,Diesel,110006,Manual,1,13554
Maruti,Vitara BrezzaVDI OPT,775000,2017,Mumbai,Diesel,75421,Manual,1,17239
Maruti,ErtigaVDI ABS,544199,2012,Mumbai,Diesel,141061,Manual,1,12105
Toyota,Innova2.5 V 7STR,463199,2009,Mumbai,Diesel,193505,Manual,2,10304
Maruti,Vitara BrezzaZDI PLUS,856450,2017,Mumbai,Diesel,114527,Manual,1,19051
Toyota,Etios LivaGD,454499,2012,Chennai,Diesel,93388,Manual,1,10110
BMW,3 Series320D LUXURYLINE,1603199,2014,Mumbai,Diesel,75353,Automatic,3,35662
Mahindra,XUV500W8 FWD,569000,2013,Mumbai,Diesel,135326,Manual,1,12657
Maruti,Swift DzireVDI BS IV,412699,2013,Mumbai,Diesel,199106,Manual,2,9180
Volkswagen,VentoCOMFORTLINE DIESEL,350000,2012,Mumbai,Diesel,141845,Manual,1,7786
Toyota,Innova2.5 G4 7 STR,453799,2010,Mumbai,Diesel,225134,Manual,2,10095
Mahindra,XUV500W8 FWD,725000,2014,Mumbai,Diesel,118113,Manual,1,16127
Hyundai,Elite i20ASTA 1.4 CRDI,550000,2014,Mumbai,Diesel,69682,Manual,1,12234
Toyota,Etios LivaG,450599,2013,Bangalore,Petrol,39732,Manual,1,10023
Mahindra,XUV500W8 FWD,568000,2012,Mumbai,Diesel,104215,Manual,1,12635
Maruti,Wagon R 1.0LXI CNG,335000,2014,Mumbai,Petrol + CNG,165231,Manual,1,7452
Toyota,Etios LivaGD,446999,2012,Chennai,Diesel,140512,Manual,1,9943
